# Dataset: Stradario regione Umbria Sept 2025;;;
# Source: https://www.anncsu.gov.it/it/consultazione-dellarchivio/open-data/Accedi-ai-servizi-di-dowload-massivo-in-Open-data/;;;
name;ID;locality;municipality
VOCABOLO VOC. MONTICCHI VECCHIO;1061458;;Allerona
VOCABOLO VOC. MOSCHEA;1061476;;Allerona
VOCABOLO VOC. MOSTARDA;1061370;;Allerona
VOCABOLO VOC. OSTERIA;1061439;;Allerona
VOCABOLO VOC. PALAZZONE;1061373;ALLERONA STAZIONE;Allerona
VOCABOLO VOC. PALOMBARA;1061374;;Allerona
VOCABOLO VOC. PALOMBARO;1061375;;Allerona
VOCABOLO VOC. PAZZARELLA;1061376;;Allerona
VOCABOLO VOC. PECCIO;1061377;;Allerona
VOCABOLO VOC. PERAZZETA;1061461;;Allerona
VOCABOLO VOC. PIANOCIANO;1061468;;Allerona
VOCABOLO VOC. PILELLO;1061492;;Allerona
VOCABOLO VOC. PODERE CASANOVA;1061477;;Allerona
VOCABOLO VOC. PODERETTO;1061441;;Allerona
VOCABOLO VOC. PODERNUOVO;1061499;;Allerona
VOCABOLO VOC. PODERUCCIO;1061467;;Allerona
VOCABOLO VOC. POGGIACCIO;1061501;;Allerona
VOCABOLO VOC. POGGIO BANDITELLA;1061383;;Allerona
VOCABOLO VOC. POGGIO BARILE;1061384;;Allerona
VOCABOLO VOC. POGGIO CAPANNO;1061385;;Allerona
VOCABOLO VOC. POGGIO DEL LUPO;1061460;;Allerona
VOCABOLO VOC. POGGIO S. PIETRO;1061479;;Allerona
VOCABOLO VOC. POGGIOSPINO;1061490;;Allerona
VOCABOLO VOC. POMARRO;1061386;;Allerona
VOCABOLO VOC. PORCARECCIA;1061474;;Allerona
VOCABOLO VOC. PORRANIERI;1061442;;Allerona
VOCABOLO VOC. POZZARELLA;1061387;;Allerona
VOCABOLO VOC. PRATALE;1061388;;Allerona
VOCABOLO VOC. QUADRUCCIO;1061443;;Allerona
VOCABOLO VOC. RIPAROSSA;1061389;ALLERONA STAZIONE;Allerona
VOCABOLO VOC. ROSCELLE;1061457;;Allerona
VOCABOLO VOC. S. ABBONDIO;1061393;;Allerona
VOCABOLO VOC. S. ANDREA;1061500;;Allerona
VOCABOLO VOC. S. ANSANO;1061311;;Allerona
VOCABOLO VOC. S. ANSANO NUOVO;1061409;;Allerona
VOCABOLO VOC. S. BIAGIO;1061455;;Allerona
VOCABOLO VOC. S. ELENA;1061482;;Allerona
VOCABOLO VOC. S. ISIDORO;1061444;;Allerona
VOCABOLO VOC. S. LORENZO;1061446;;Allerona
VOCABOLO VOC. S. ROCCO;1061445;;Allerona
VOCABOLO VOC. SCONFITTA;1061489;;Allerona
VOCABOLO VOC. SCOPETO;1061487;;Allerona
VOCABOLO VOC. SCUDERIA;1061471;;Allerona
VOCABOLO VOC. SELVELLA;1061394;;Allerona
VOCABOLO VOC. SPIAGGE;1061447;;Allerona
VOCABOLO VOC. STRADONE;1061395;;Allerona
VOCABOLO VOC. TESTARECCIO;1061448;;Allerona
VOCABOLO VOC. TORRE BISENZI;1061485;;Allerona
VOCABOLO VOC. TUFO;1061398;;Allerona
VOCABOLO VOC. VAGGI;1061463;;Allerona
VOCABOLO VOC. VALANDRIA;1061480;;Allerona
VOCABOLO VOC. VALLONE;1061400;;Allerona
VOCABOLO VOC. VILLA BELVEDERE;1061450;;Allerona
VOCABOLO VOC. VILLA CRESPI;1061451;;Allerona
VOCABOLO VOC. VILLA PALOMBARO;1061452;;Allerona
VOCABOLO VOC. VILLA SELVA;1061453;;Allerona
VOCABOLO VOC. VORGA;1061402;;Allerona
VOCABOLO VOC.BARGIANO;1061315;;Allerona
VOCABOLO VOC.CASA PARROCCHIALE;1061503;;Allerona
VOCABOLO VOC.CHIUSAMORRA;1061504;;Allerona
VOCABOLO VOC.PIANETTE;1061440;;Allerona
VOCABOLO VOC.PODERETTO S. PIETRO;1061507;;Allerona
PIAZZA AUGUSTO RENZINI;323711;;Alviano
PIAZZA BARTOLOMEO D'ALVIANO;323615;;Alviano
PIAZZA GIOVANNI PAOLO SECONDO;323713;;Alviano
PIAZZA PADRE ENZO E LUCIANO CANONICI;323712;;Alviano
PIAZZA PADRE FEDELE SCHIAROLI;323670;;Alviano
STRADA CAPRARA;323619;;Alviano
STRADA CASTELLARE;323625;;Alviano
STRADA CIVITELLE;323626;;Alviano
STRADA CROGNOLA;323633;;Alviano
STRADA DEI FOSSI;323635;;Alviano
STRADA DEL CASSETTONE;323637;;Alviano
STRADA DEL FUNARO;323707;;Alviano
STRADA DEL POGGETTO;323638;;Alviano
STRADA DELLA BARCA;323639;;Alviano
STRADA DELLA CIMA;323640;;Alviano
STRADA DELLA SCAPPIA;323641;;Alviano
STRADA DELL'OMO MORTO;323708;;Alviano
STRADA FONDO DELLA RENA;323648;;Alviano
STRADA FONNACCIOLI;323649;;Alviano
STRADA MACCHIA CANNETO;323666;;Alviano
STRADA RAMICI;323678;;Alviano
STRADA SAN ROCCO;323684;;Alviano
STRADA TERRA CAVATA;323691;;Alviano
STRADA TRE PIZZI;323693;;Alviano
STRADA VAGLIE;323695;;Alviano
STRADA VALLE MATTELLA;323705;;Alviano
VIA ASSUNTA IN CIELO;323613;;Alviano
VIA CAMPARCANGELO;323714;;Alviano
VIA CAMPO DELLA FIERA;323618;STAZIONE DI ALVIANO;Alviano
VIA CASE SPARSE;323624;;Alviano
VIA DEGLI ARTIGIANI;323634;STAZIONE DI ALVIANO;Alviano
VIA DELLE CHIUSE;323643;;Alviano
VIA FABIO EMILIANI;323710;;Alviano
VIA GALLIANO;323658;;Alviano
VIA GIUSEPPE GARIBALDI;323661;;Alviano
VIA GIUSEPPE MAZZINI;323662;;Alviano
VIA GIUSEPPE VERDI;323663;;Alviano
VIA GUGLIELMO MARCONI;323664;;Alviano
VIA NOVELLI;323668;;Alviano
VIA PIAGGE;323673;;Alviano
VIA QUATTRO NOVEMBRE;323665;;Alviano
VIA ROMA;323680;;Alviano
VIA SAN GIOVANNI;323683;;Alviano
VIA SAN VALENTINO;323687;STAZIONE DI ALVIANO;Alviano
VIA SANTA ANNA;323688;STAZIONE DI ALVIANO;Alviano
VIA SCUOLA VECCHIA;323689;;Alviano
VIA TOSELLI;323692;;Alviano
VIA UMBERTO PRIMO;323694;;Alviano
VIA VAJNORY;323696;STAZIONE DI ALVIANO;Alviano
VIA VENTIQUATTRO MAGGIO;323701;;Alviano
VIA VITTORIO EMANUELE TERZO;323700;;Alviano
VIALE BELVEDERE SAN FRANCESCO D'ASSISI;323682;;Alviano
VIALE REGINA MARGHERITA;323679;;Alviano
